Timestamp (seconds),Hand X,Hand Y,In Zone (1=Yes/0=No),Part Placed
4.803,437.50,187.73,0,
4.808,437.50,187.73,0,
4.814,437.50,187.73,0,
4.820,437.50,187.73,0,
4.825,437.50,187.73,0,
4.833,437.50,187.73,0,
4.836,437.50,187.73,0,
4.842,437.50,187.73,0,
4.848,437.50,187.73,0,
4.852,437.50,187.73,0,
4.860,437.50,187.73,0,
4.866,437.50,187.73,0,
4.873,437.50,187.73,0,
4.878,437.50,187.73,0,
4.883,437.50,187.73,0,
4.890,437.50,187.73,0,
4.894,437.50,187.73,0,
4.901,437.50,187.73,0,
4.906,437.50,187.73,0,
4.911,437.50,187.73,0,
4.915,437.50,187.73,0,
4.919,437.50,187.73,0,
4.927,437.50,187.73,0,
4.933,437.50,187.73,0,
4.940,437.50,187.73,0,
4.944,437.50,187.73,0,
4.950,437.50,187.73,0,
4.955,437.50,187.73,0,
4.959,437.50,187.73,0,
4.966,437.50,187.73,0,
4.971,437.50,187.73,0,
4.977,437.50,187.73,0,
4.983,437.50,187.73,0,
4.989,437.50,187.73,0,
4.994,437.50,187.73,0,
5.001,437.50,187.73,0,
5.006,437.50,187.73,0,
5.010,437.50,187.73,0,
5.017,437.50,187.73,0,
5.021,437.50,187.73,0,
5.025,437.50,187.73,0,
5.032,437.50,187.73,0,
5.036,437.50,187.73,0,
5.042,437.50,187.73,0,
5.046,437.50,187.73,0,
5.053,437.50,187.73,0,
5.057,437.50,187.73,0,
5.063,437.50,187.73,0,
5.067,437.50,187.73,0,
5.073,437.50,187.73,0,
5.078,437.50,187.73,0,
5.081,437.50,187.73,0,
5.090,437.50,187.73,0,
5.097,437.50,187.73,0,
5.101,437.50,187.73,0,
5.106,437.50,187.73,0,
5.110,437.50,187.73,0,
5.115,437.50,187.73,0,
5.120,437.50,187.73,0,
5.127,437.50,187.73,0,
5.133,437.50,187.73,0,
5.136,437.50,187.73,0,
5.140,437.50,187.73,0,
5.144,437.50,187.73,0,
5.149,437.50,187.73,0,
5.153,437.50,187.73,0,
5.157,437.50,187.73,0,
5.160,437.50,187.73,0,
5.165,437.50,187.73,0,
5.171,437.50,187.73,0,
5.178,437.50,187.73,0,
5.182,437.50,187.73,0,
5.187,437.50,187.73,0,
5.193,437.50,187.73,0,
5.198,437.50,187.73,0,
5.204,437.50,187.73,0,
5.211,437.50,187.73,0,
5.216,437.50,187.73,0,
5.220,437.50,187.73,0,
5.224,437.50,187.73,0,
5.229,437.50,187.73,0,
5.235,437.50,187.73,0,
5.242,437.50,187.73,0,
5.247,437.50,187.73,0,
5.251,437.50,187.73,0,
5.254,437.50,187.73,0,
5.261,437.50,187.73,0,
5.264,437.50,187.73,0,
5.271,437.50,187.73,0,
5.275,437.50,187.73,0,
5.282,437.50,187.73,0,
5.287,437.50,187.73,0,
5.291,437.50,187.73,0,
5.297,437.50,187.73,0,
5.304,437.50,187.73,0,
5.309,437.50,187.73,0,
5.315,437.50,187.73,0,
5.319,437.50,187.73,0,
5.323,437.50,187.73,0,
5.335,437.50,187.73,0,
5.340,437.50,187.73,0,
5.352,437.50,187.73,0,
5.362,437.50,187.73,0,
5.374,437.50,187.73,0,
5.382,437.50,187.73,0,
5.392,437.50,187.73,0,
5.402,437.50,187.73,0,
5.412,437.50,187.73,0,
5.422,437.50,187.73,0,
5.435,437.50,187.73,0,
5.445,437.50,187.73,0,
5.453,437.50,187.73,0,
5.461,437.50,187.73,0,
5.471,437.50,187.73,0,
5.483,437.50,187.73,0,
5.492,437.50,187.73,0,
5.502,437.50,187.73,0,
5.513,437.50,187.73,0,
5.523,437.50,187.73,0,
5.533,437.50,187.73,0,
5.546,437.50,187.73,0,
5.553,437.50,187.73,0,
5.560,437.50,187.73,0,
5.581,437.50,187.73,0,
5.589,437.50,187.73,0,
5.597,437.50,187.73,0,
5.603,437.50,187.73,0,
5.612,437.50,187.73,0,
5.623,437.50,187.73,0,
5.634,437.50,187.73,0,
5.642,437.50,187.73,0,
5.656,437.50,187.73,0,
5.663,437.50,187.73,0,
5.671,437.50,187.73,0,
5.684,437.50,187.73,0,
5.695,437.50,187.73,0,
5.702,437.50,187.73,0,
5.713,437.50,187.73,0,
5.723,437.50,187.73,0,
5.736,437.50,187.73,0,
5.740,437.50,187.73,0,
5.755,437.50,187.73,0,
5.765,437.50,187.73,0,
5.772,437.50,187.73,0,
5.783,437.50,187.73,0,
5.793,437.50,187.73,0,
5.802,437.50,187.73,0,
5.812,437.50,187.73,0,
5.826,437.50,187.73,0,
5.830,437.50,187.73,0,
5.841,437.50,187.73,0,
5.854,437.50,187.73,0,
5.862,437.50,187.73,0,
5.873,437.50,187.73,0,
5.884,437.50,187.73,0,
5.891,437.50,187.73,0,
5.904,437.50,187.73,0,
5.910,437.50,187.73,0,
5.924,437.50,187.73,0,
5.933,437.50,187.73,0,
5.945,437.50,187.73,0,
5.955,437.50,187.73,0,
5.960,437.50,187.73,0,
5.976,437.50,187.73,0,
